"","iso3c","year","business","rights","marriage","religion","human","literature","cancer","health","tourism","rape","arts","sports","combat","fashion","politics","n"
"1","AFG",1981,0.00320176890013367,0.0156104364015507,0.0357941758587566,0.0174152871507921,0.00961137816441534,0.00111614917768537,0.000325129213347619,0.00477371357126368,0.00215958551982172,0.0764148292565593,0.00057471124170662,0.000462971192397584,0.683003761169054,0.000810927948161963,0.148725175234354,1
"2","AFG",1987,0.117931211284912,0.0983742828872284,0.0101340065551582,0.193399363188394,0.115752035656828,0.00170275797732243,0.00129329397939177,0.107521809735039,0.0954045840813859,0.00424259069208577,0.00165751313196825,0.00647207905716224,0.0917638255801576,0.0140390007469992,0.140311645445966,1
"3","AFG",1988,0.00955099297863626,0.165672706946983,0.195920215119816,0.158238101747138,0.222430589342059,0.00444788745718767,0.00108630268333585,0.0275994632797524,0.00469996768192493,0.00550917786157222,0.00121571114181514,0.000890005778498454,0.109518875431548,0.00261336773399273,0.0906066348157411,3
"4","AFG",1989,0.00888950104538028,0.322050545596756,0.0168078930206508,0.251962735484909,0.05972923407384,0.00500698893853062,0.00175013146549132,0.11132218621897,0.0024819891609025,0.0156048385971275,0.00156210653204006,0.000773690011239371,0.0510201089358154,0.000970432661513897,0.150067618256832,1
"5","AFG",1991,0.0402112934345444,0.0184722665036349,0.00747855203169726,0.0911529324595668,0.0352619242968885,0.0137971515309889,0.0700432188600203,0.142288856568315,0.0388644487714394,0.067742745915539,0.0880024008968202,0.146564179455941,0.131569195176123,0.0033291968872304,0.105221637211251,1
"6","AFG",1995,0.055636592222131,0.329403428321808,0.0301791262091881,0.0726619216567529,0.0508107226292481,0.00268735588092698,0.00360819139161796,0.177103992904878,0.00355765967028036,0.0741265378848997,0.000991025710110318,0.00155068511954361,0.120788849738935,0.00140159414149762,0.0754923165181829,2
"7","AFG",1996,0.0138453514945803,0.249468199645105,0.0331487343425523,0.069155624056872,0.05059090150396,0.030707313767096,0.00472473672375764,0.121357970366849,0.00300481833199737,0.0425457480187522,0.00222134074174308,0.00194368536750646,0.219585991964503,0.0014488728166764,0.15625071085805,3
"8","AFG",1997,0.0145572400153555,0.163666946721293,0.02765533507164,0.04322869027786,0.0946919456524543,0.00200884211731218,0.0447168275041297,0.373864248363845,0.00711771003525039,0.027290293402863,0.00105865284886647,0.00245619689006284,0.104943556285861,0.0101784113066899,0.0825651035065178,3
"9","AFG",1998,0.0167388499468177,0.219169776900896,0.0782770857439888,0.0848022502109837,0.168598432497094,0.00284272343749233,0.00687166111253841,0.161543294896902,0.0119542611392879,0.0889866984371034,0.00182440745040407,0.00239646710930281,0.0693230676255434,0.0178269537178503,0.0688440697737948,6
"10","AFG",2000,0.0307815004250442,0.261388168056652,0.0596347852948512,0.0723852772858968,0.126742992113165,0.00473459764636852,0.00900732198263024,0.112341627339673,0.0419433782159078,0.0321424815719491,0.00363629453449753,0.00542751299941644,0.139922312756654,0.0113552121540431,0.0885565376232508,8
"11","AFG",2001,0.0254602974536238,0.176522445202753,0.0515771867256273,0.106309494814648,0.14271669170948,0.0171921710006852,0.0109607218927902,0.134311389987585,0.0308490299273164,0.0352836427100173,0.00583502315644505,0.00638362004627793,0.116723308120059,0.0175093716268044,0.122365605625888,18
"12","AFG",2002,0.0203443002837577,0.159720518444635,0.0909664136656406,0.0706068115932733,0.114713372614786,0.0205377093943125,0.0233745480902465,0.168703173484055,0.0273585882025408,0.0381374173954052,0.0173991518570421,0.00276568811788069,0.0869874592452698,0.0399148927781035,0.11846995483305,26
"13","AFG",2003,0.0147677116786583,0.283714249399633,0.0977859595244216,0.0746097143468709,0.0843190677497322,0.00198571808787044,0.0143605073082349,0.137693874264423,0.00691497065108569,0.0304834859503815,0.000979959322979332,0.000972253272848473,0.0407800433858674,0.00162001907679931,0.209012465980194,16
"14","AFG",2004,0.0309898685627615,0.181262513555231,0.149485284753592,0.0579393529655559,0.121397384652141,0.0132752759542919,0.0043703227305871,0.0409053559792667,0.0278845121198775,0.0321629981082124,0.0437535047774919,0.00314085482903496,0.107762696914845,0.00338527935509666,0.182284794742014,13
"15","AFG",2005,0.0561284108366642,0.0891291649967419,0.0782251709803083,0.0325316742495206,0.117464741289726,0.0861447888666433,0.00671832767562688,0.0641064209871366,0.0657247185253814,0.0598850572941299,0.00354037246070426,0.0166234096781696,0.161258094361307,0.0337123130050169,0.128807334792923,9
"16","AFG",2006,0.0452902418588952,0.0435079020387451,0.105992486416398,0.056774227092936,0.184586075280007,0.158026493897547,0.00750312153703654,0.042078261301264,0.0597297943851954,0.0276197611851208,0.0144033020768365,0.00157495535689788,0.232913939169841,0.00486403958213268,0.0151353988211468,4
"17","AFG",2007,0.00678700178618569,0.0584943068075507,0.154130242843963,0.0635418261807655,0.176193647226804,0.109574732134987,0.00379621217580301,0.0121562013425154,0.0310863644664988,0.0690494911421022,0.0429335319496735,0.0116688316624387,0.174100497185672,0.048755551898635,0.0377315611964055,3
"18","AFG",2008,0.0414537177923273,0.122043670555724,0.117293863273892,0.037399039587759,0.116817289107032,0.00744760890287828,0.0323016803739277,0.0950850757878342,0.0114985603417435,0.0671819847002876,0.00320992129516854,0.00842519543381744,0.273167209964558,0.00397809277628355,0.062697090106768,6
