"","iso3c","year","business","rights","marriage","religion","human","literature","cancer","health","tourism","rape","arts","sports","combat","fashion","politics","number.of.non.stop.words","n"
"1","AFG",1981,0.582721939824328,2.84109942508223,6.5145400062937,3.16958226144416,1.74927082592359,0.203139150338737,0.0591735168292667,0.86881586996999,0.393044564607553,13.9074989246938,0.104597445990605,0.0842607570163603,124.306684532768,0.147588886565477,27.0679818926524,182,1
"2","AFG",1987,75.9477000674833,63.3530381793751,6.52630022152188,124.549189893326,74.5443109629972,1.09657613739564,0.8328813227283,69.2440454693651,61.4405521484125,2.73222840570324,1.06743845698755,4.16801891281248,59.0959036736215,9.04111648106749,90.3606996672021,644,1
"3","AFG",1988,4.05095533887109,75.2338211496997,96.8153182548465,68.3568165738634,105.931580799352,1.75138070671036,0.581865145745663,14.6564533292849,2.34007874294094,2.5218376052319,0.541451379988031,0.398253027675307,54.6618497831623,1.27108906623988,34.2205824297209,463.333333333333,3
"4","AFG",1989,1.11118763067254,40.2563181995945,2.10098662758135,31.4953419356136,7.46615425923,0.625873617316328,0.218766433186415,13.9152732773713,0.310248645112813,1.95060482464094,0.195263316505008,0.0967112514049214,6.37751361697693,0.121304082689237,18.758452282104,125,1
"5","AFG",1991,22.4781130299103,10.3259969755319,4.18051058571877,50.9544892448978,19.7114156819607,7.7126077058228,39.1541593427513,79.5394708216881,21.7252268632346,37.8681949667863,49.1933421013225,81.929376315871,73.5471801034528,1.86102105996179,58.8188952010893,559,1
"6","AFG",1995,10.177846826417,41.2438432814253,3.97032849590428,7.85550405560422,8.75140304730882,0.376418003872702,0.484737932649914,23.1575088147928,0.582741164660993,12.6202626965826,0.141214583374056,0.245975059890076,19.1916565820145,0.210844848431056,10.9897146070718,140,2
"7","AFG",1996,1.44507301746371,34.7849437188694,5.09430203414986,12.0828290130012,7.99417259291638,3.75533806770283,0.453857872048665,13.5088336983693,0.298672720544801,3.8865668344492,0.279935533046265,0.252119660778005,18.6699706065465,0.194443803156598,31.9656074936239,134.666666666667,3
"8","AFG",1997,4.47122483348445,35.157231617712,7.66746877293119,10.3106899255073,32.4099056566225,0.603200921432022,8.97477082048271,60.0755080698169,2.49724862964568,5.51501186496416,0.325529068771664,0.688243674873217,35.3235677558937,3.95668654257972,26.6903785119496,234.666666666667,3
"9","AFG",1998,5.33540746347284,51.0047920095893,28.1966599564662,26.8357785723485,65.8095398191315,0.723300847796252,1.54510802631644,42.1566189941435,6.87987360685712,14.924538335163,0.575223559087927,0.755210973632854,36.0884308605996,9.08401960927548,18.252164032786,308.166666666667,6
"10","AFG",2000,5.17377910123999,27.1065627358806,8.48004071845332,9.22030353978941,14.5111330782438,0.351178334653349,0.692767275100386,17.8112030413807,7.91014266373474,2.60422035369695,0.238756219337246,1.00291031376217,20.4148697268192,1.10174356604388,12.1303893318642,128.75,8
"11","AFG",2001,6.49738141772581,37.2245270153774,11.5343275672842,31.8122145914292,34.460821487991,3.1444135681904,2.02608912973979,26.9755466528659,9.34342566716728,10.0101977335492,2.23472107359498,1.3804796896352,32.5773037588944,4.81223831873822,27.7996456611503,241.833333333333,18
"12","AFG",2002,4.11245715870952,38.4097052969285,43.0922938417886,26.4934365573834,45.1923187435743,9.42857500924147,9.14550195131634,36.621385090755,9.7420487731179,6.99009224415812,3.25380180058942,0.926115711892193,27.9895038023199,13.4449424335736,29.3885908154209,304.230769230769,26
"13","AFG",2003,4.30522748262328,74.8645134965759,44.7014933153039,25.0928085893535,23.4047841039167,0.455243961453356,6.76665788727196,31.2991809014434,2.82964617228124,6.03162164885781,0.21956383747787,0.194423110651654,5.59786692458763,0.510073925360769,38.9768946428409,265.25,16
"14","AFG",2004,7.93951206226627,49.1473418407478,64.3082925537602,23.0620846831818,45.7735570811379,4.97638554741559,1.38531414561918,14.0594321946476,10.6747938771535,9.59291293256345,16.4873225860334,1.39716676784769,35.5838395752454,1.21676312402325,74.8568194898954,360.461538461538,13
"15","AFG",2005,16.5163453775762,42.45742878083,69.5854266050887,25.1722715398076,72.6225221651142,63.7582067931376,2.82025248436731,10.3664812782741,40.4888142680001,24.5958585999347,3.62932984433432,6.01487605564957,81.9084660896695,21.18346430221,70.3247002604504,551.444444444444,9
"16","AFG",2006,22.8947197155256,19.7042652761301,50.694422807786,25.410619382036,80.567165507357,79.0010946943412,3.76497495327443,18.3148294721707,29.3611784603126,13.0785247546015,6.50128675227569,0.663760728003808,84.9180291205037,2.14648657781197,5.72864179786966,442.75,4
"17","AFG",2007,1.54953632949567,13.3997377756502,38.8452027084932,15.0317483475474,32.8053978534605,28.4006781747965,0.677344550408514,2.89522657330243,7.97706601558717,16.6744364369678,6.96025316503986,1.76917380047174,43.0360717458691,12.1956212002555,9.449171989321,231.666666666667,3
"18","AFG",2008,18.1042252224444,34.1664436694886,45.4006109531429,16.7077077304674,49.847483100619,3.44692981152291,9.71990221219129,21.15958324204,4.17834041344421,30.9312860105731,1.47665139822819,4.00842630918468,116.076203110475,1.87215659643803,27.5707168864073,384.666666666667,6
"19","AFG",2009,4.29757248696447,92.2121291856808,33.3779404131883,20.2360900029291,24.8307954276239,0.554839155207447,4.14489097963952,30.1063406092459,1.47051558398397,40.5133977680786,0.343255380145588,1.25337829088044,34.6973128175892,1.11836841436977,56.5574591987587,345.714285714286,14
"20","AFG",2010,7.20426998759172,41.3199345476008,73.3835811182572,14.4769846494231,83.6104243445961,3.52991712471351,4.97691732874064,10.1999930007367,33.9147872873287,12.4605476967472,3.85655431282974,19.4246453548461,88.7648475340347,10.8771767167983,21.7327523290886,429.733333333333,15
