"","year","region","business","rights","marriage","religion","human","literature","cancer","health","tourism","rape","arts","sports","combat","fashion","politics","number.of.non.stop.words","n"
"1",1980,"Africa",63.5788223088518,56.8123734695417,13.734347974998,15.9203733352124,27.553516335381,1.44309109617466,1.30616202512229,15.7425009462408,20.3313587893312,20.7820552124291,4.58998958273409,4.39817809939544,7.39950913843506,26.9519067859359,27.4558149002167,308,3
"2",1980,"Asia",33.7910204450306,27.4206504981317,34.5827082561783,4.39105739431725,25.5943126850607,5.44981052121845,0.786860829372766,9.48403680462381,58.3053264237661,18.2101635450628,10.9330628014081,4.05315270618539,6.62282347359027,17.2707661240139,28.5417474920398,285.4375,16
"3",1980,"EECA",18.4951827377602,35.3640713672997,27.7125069900807,16.2517187092398,35.0890274170416,51.4284607256757,8.1330142461794,4.46028323516381,17.7409568715142,8.67309574616053,5.37460900042521,2.57989326882824,5.55862325630636,1.29214691450758,35.8464095138169,274,6
"4",1980,"LA",9.77521599571418,25.7887258668346,15.1033370773667,9.64237044689923,29.0181573253286,3.33134737367029,2.01022987065834,16.954076203794,12.6288877517354,8.67482657421499,6.31306303501502,1.99446201874374,13.2077788845465,7.29561196424028,52.761909611238,214.5,10
"5",1980,"MENA",10.0052518233226,37.9556616621995,7.00406082563367,33.7586331049915,21.7438605466688,2.88049490763142,0.551535657152729,9.80290797756536,3.53637466222003,6.51729176491344,2.64476978642097,0.891420452072662,56.8481280958856,5.32434312838039,77.0977656049413,276.5625,16
"6",1980,"West",19.4148981310341,33.8735102359617,11.8287130941618,8.63716152295148,40.4011549141587,71.651767453669,21.4806788975776,6.29983779084948,8.81164447047102,8.22162801830521,17.7684762325573,5.33966713524308,2.77975032863773,4.04745435723291,29.139309591102,289.695652173913,23
"7",1981,"Africa",46.4101705196634,176.545043927712,83.9709846204442,8.16636376805621,27.8115669222532,2.58401028062137,0.759961791274972,25.3150473110543,3.00390954719679,10.7750846926729,0.69754358719465,0.214135798741348,1.46796143501254,1.06032012147604,13.2178956766258,402,1
"8",1981,"Asia",30.2133138943932,31.2519515844165,14.8692128977975,5.07276746930064,22.0246190488698,112.190039212554,22.1526481254038,13.1965637344928,4.33253927711908,9.0850349567123,20.6557508514049,5.55029532656166,2.49595085021666,15.5990573658378,8.5734132996566,317.263157894737,19
"9",1981,"EECA",37.3472530103575,51.0272903732128,31.1165603702284,37.9747174382456,43.4910576187291,62.3904808988734,1.01926821214639,12.326888761433,10.4086140128626,2.33046134568621,22.5854067443512,7.44582161584084,4.1167200692821,3.92006662335769,63.499392905393,391,10
"10",1981,"LA",63.7838871666339,45.8492370881498,33.7924486322474,13.6446850985956,22.8396142919456,26.0365786745414,1.38807874345561,9.51393702375128,42.8737873748051,102.465792712417,12.7554148762919,4.15703652789512,21.6033108890042,32.2021589230856,32.4940319771801,465.4,5
"11",1981,"MENA",15.355851805478,53.3264406213439,23.5066749322439,17.6918078836368,42.7104594687912,2.87224768205764,20.8477052291893,8.90142864971166,7.75673146607906,18.08451633197,11.1246198987731,28.4787725040257,30.8069830480786,10.8340905764424,27.7016699021787,320,9
"12",1981,"West",20.3862003445364,31.5821393414105,7.70540477028556,13.0037907012556,38.2745386798524,12.9983489892656,16.8587550293883,3.77733477911896,16.7392467714358,17.2758333637273,47.8204682404984,26.1050495891903,5.14376234382132,17.1078846454427,31.9509721405004,306.72972972973,37
"13",1982,"Africa",2.04080239792339,27.4796371271184,10.9608061309903,23.168591354556,3.65845096329328,4.29650599474827,0.419155952535726,10.9797942276078,4.58703371786496,8.06198442634146,19.8705145838593,0.109257442571951,3.70659631754613,0.654115616849201,5.50675374619379,125.5,2
"14",1982,"Asia",39.6750410296791,21.6217663832681,34.1369522821177,1.03659130728368,46.016834558801,14.0723854997084,10.6104070219218,13.3144796484442,42.402907688258,1.76679712433791,20.283336739388,3.41324983413101,1.99748029021748,122.383632140632,4.85637374592924,377.588235294118,17
"15",1982,"EECA",5.8054251202126,8.60646818769734,6.11498057340623,5.23591583587569,24.3396453678197,117.231810773865,0.665247586947784,1.27613885351399,15.4824933331288,3.48618879246847,4.63112839434023,2.00323988786814,31.6434447945366,1.75444405269576,25.7234284456237,254,5
"16",1982,"LA",33.3321317312211,14.1087275772721,6.0019740333032,13.9452562035812,6.7230849911839,3.11869186760056,0.347208361008169,14.9303969059899,21.704786656521,5.81033809860776,8.11931425540462,6.24813090616621,2.31603338145811,7.8982916185992,24.1734111898608,168.777777777778,9
"17",1982,"MENA",27.1753104659688,61.4032462054106,17.6474070613023,35.2531080652317,32.6143756902661,7.69068464405654,1.72099442112361,16.8483570350792,14.4981258037309,10.7272575405713,1.72778366368714,0.302085003058246,34.8509668286194,14.6780253696974,24.5765579164824,301.714285714286,14
"18",1982,"West",26.2468255693799,14.8666124478463,14.6075736568131,3.65063095661211,28.0112445886397,9.76230365392167,32.1688219704269,3.96682967766139,3.83272881109785,8.1308601895971,21.3586343121582,12.9642578083448,1.55163621154556,67.8541492607861,9.2682701955143,258.241379310345,29
"19",1983,"Africa",3.31061095239942,20.0650619135366,27.215166241931,17.2739712844339,42.4314230945713,8.69142867217525,1.66638331454799,16.2604678325214,12.150888044745,43.9463340480726,41.8726142125277,72.2059389665611,2.05852080877042,16.2561383297974,27.4283856167423,352.833333333333,6
"20",1983,"Asia",139.901356503894,61.7894367275544,49.6066092160248,10.449926216754,38.4337683259822,15.1926493436317,3.4164581326796,25.8254198724439,16.3602373277423,25.6061706931838,2.39535910391526,2.64539125208973,11.4133335076904,1.73219762632267,25.1483528167575,429.916666666667,12
