"","iso3c","year","cancer","reproductive","religion","business","marriage","arts","migration","rape","war","literature","personal","rights","politics","sports","fashion","n.words","n"
"388","ESP",1987,0.00597087146307174,0.0158202323158857,0.0017163364810579,0.289466801015873,0.00733082463046388,0.000458666149113198,0.0594592460968342,0.0930675554094763,0.00232339145209866,0.00337603015296952,0.111518440650196,0.368445105738204,0.0348068045163467,0.00154215351805624,0.00469754041035319,620,1
"389","ESP",1988,0.00137963385367314,0.0017996578117131,0.00218045303815525,0.0663616869930539,0.0131506944955191,0.0657545119773062,0.03344903106977,0.00164938828584153,0.0035317634426678,0.343750084952889,0.186709342289055,0.0319469180832266,0.0378401757820896,0.00336584234716694,0.207130815577872,1449,2
"390","ESP",1989,0.0055460942051369,0.0875341232567501,0.0237329138824809,0.177306754522134,0.0428382234984871,0.00058635387890273,0.00785172177543297,0.0803317450989643,0.00306264223719292,0.00653540516507663,0.0798893381279493,0.409914595137625,0.0728131414590295,0.00112878853951907,0.000928159215318008,534,1
"391","ESP",1994,0.00295954872758674,0.0220767499275011,0.00771812136396449,0.205908453754262,0.039673021096394,0.0190485585790833,0.00640188048522878,0.00899473369735253,0.00454516960864799,0.0434786711122924,0.066363169815722,0.376382456470472,0.17860462557339,0.0082511840119227,0.00959365577617992,467,2
"392","ESP",1995,0.00253785431956939,0.00246292929481628,0.00262576094814846,0.0164097503487515,0.0699313836398143,0.56669344771479,0.00262098927879203,0.0011523097483319,0.00103144133325904,0.0948035861552199,0.12521910635591,0.0280252388490145,0.00233857186604637,0.0268845282292116,0.0572631019183242,745,1
"393","ESP",2000,0.00281088780339658,0.000614827090458759,0.000274626068759827,0.00518612166919988,0.00226547245203819,0.00202423722141221,0.00148238616575057,0.000631214778505533,0.00122883499430398,0.00094352610514191,0.0156775371124431,0.00305445191458287,0.00310791175500723,0.958656801880938,0.0020411629880614,39,1
"394","ESP",2002,0.00580285849501929,0.00321041225531862,0.00100789196967325,0.0508354622290701,0.0672797853074505,0.00370097208288356,0.0438525719412572,0.0547448483879166,0.0143078725448311,0.00314576653315421,0.0368974745069973,0.0141890384872319,0.00958736151485355,0.687625136282839,0.003812547461504,143,1
"395","ESP",2004,0.00245428264145645,0.00449331204716187,0.211711566079262,0.0123304289945787,0.0174388951757222,0.00595424402982217,0.143313650125907,0.246935457478794,0.00449456757449999,0.0319404622884387,0.0486487917218181,0.220082881294963,0.0468498461948045,0.00128996926502959,0.0020616450877425,929,4
"396","ESP",2006,0.00160744709191276,0.000356829909464107,0.00065166825515047,0.0530614238233353,0.00800153473961791,0.0116559713308116,0.0626600313045197,0.00353803169435207,0.00684929573340244,0.00349882779843727,0.0255137644279803,0.00419414478490334,0.00605448948373328,0.003590446165732,0.808766093456647,189,1
"397","ESP",2007,0.00670799970634365,0.000999691632406941,0.000906034640105727,0.0231574696281202,0.0385288514328116,0.0437587410483074,0.0224003929502983,0.000911805675601522,0.00170018840654713,0.0243085716520428,0.153894128998208,0.00392710342505296,0.00209136773211372,0.00291377324659056,0.673793879825449,457,1
"398","ESP",2008,0.0120593984747918,0.0416695694289804,0.0209481829052917,0.067989494673975,0.122637993572286,0.0419036936486062,0.19382867703677,0.0293123067502117,0.0180430206071724,0.0146035738955171,0.068856966921638,0.158373179898179,0.0904438757034766,0.00416338945848061,0.115166677024623,839,3
"399","ESP",2011,0.405659472706477,0.0170184816118882,0.000880345266301629,0.186872562919201,0.201632381230501,0.0224356189502783,0.00879707668813911,0.00477414658298771,0.0808038406948673,0.00692142090352846,0.0171904341784583,0.00411338215535549,0.0376397565894512,0.00316739975813148,0.0020936797644334,312,2
"400","ESP",2012,0.00789416142088952,0.0074990272799042,0.0015216692890852,0.0523879449648678,0.0530574677969735,0.126967997816681,0.37857570365173,0.0586272518972956,0.00907005196857962,0.00410689692079901,0.164212738620579,0.0364611523381979,0.0398141102816311,0.0123721676083121,0.0474316581444751,1986,4
"401","ESP",2014,0.00561843797389308,0.205759857270232,0.0137525669469055,0.0103025977871219,0.00486431888107468,0.000385192885006395,0.00204396293886684,0.0332102284609451,0.00297650421643994,0.00182041874076476,0.0210758692445181,0.384931347351272,0.312542054513444,0.000625039987769979,9.16028017459202e-05,155,1
"402","ETH",1980,0.00541598533436988,0.180612497887318,0.00235243111341969,0.426620062104446,0.0607794290228213,0.00305971741630381,0.0730954404392881,0.00126240568292424,0.00284163027145952,0.00213877517174465,0.106403527730621,0.0428151019503481,0.0416193255551767,0.00169614266806084,0.0492875276516982,343,1
"403","ETH",1983,0.00127585432200578,0.00205634231901758,0.00372225720032462,0.00737173329700844,0.143730781365111,0.22676908953753,0.00578392384115888,0.000349317402354852,0.00344426992734867,0.0124116487084653,0.113153637140377,0.00503702897013433,0.0287123800549039,0.00275174813368493,0.443429987780575,277,1
"404","ETH",1985,0.00380347470637307,0.348553445946569,0.00153761478337969,0.00637138975516622,0.0348403888496234,0.00097337950138077,0.420557616584281,0.000827463788814084,0.00234303761986018,0.0011362483663587,0.115844305312781,0.0088939864781576,0.00462769082459606,0.000793044994075117,0.0488969124885845,708,1
"405","ETH",1994,0.0510341488816755,0.00817431131561122,0.0484062828951366,0.00119604926198647,0.0538914884006481,0.124240187986812,0.00784471571887938,0.282508464969683,0.194533826705117,0.0322843916386686,0.0945035553509854,0.00794196171997389,0.0151771212929679,0.0508397054968625,0.0274237883649922,569,1
"406","ETH",1996,0.00298869517605066,0.00780971801430071,0.00450704620907923,0.00766046135032199,0.0460501813342991,0.00620535793111357,0.0055462140012464,0.00445959478356988,0.00691170305317367,0.00402268827273204,0.0620425680112857,0.0114860931298219,0.0104023793249445,0.809580435448741,0.0103268639593197,46,1
"407","ETH",1998,0.0164506517882411,0.0368376505106555,0.00274271684506454,0.0274608417861925,0.0223521356583163,0.00142128007696493,0.301321743045127,0.0953533165100498,0.163839046456794,0.000582865747622143,0.0119035325562107,0.0194936949957035,0.279697373876749,0.0191696278462742,0.00137352230003581,583,1
"408","ETH",2001,0.00831935019379389,0.71068479226057,0.0147120626036186,0.00717318847555505,0.0779877391156963,0.000373525795404553,0.0197993730671302,0.00855248573963821,0.00273220128951567,0.00139862305153379,0.0367793687074682,0.105181289421715,0.00509628997573514,0.000405589170245501,0.000804121132379407,480,2
