"","iso3c","year","cancer","reproductive","religion","business","marriage","arts","migration","rape","war","literature","personal","rights","politics","sports","fashion","number.of.non.stop.words","n"
"1","AFG",1981,0.0384135344178648,0.179823186407458,3.05236194067745,0.383589062115234,7.45088040904647,0.119876548986132,0.804610555785855,7.97861145726234,138.978461105033,0.372792973644291,1.67755206962672,2.06060509392365,18.6910588011242,0.087074652327991,0.124288609621309,182,1
"2","AFG",1987,0.560850224238657,9.01895328673642,154.889627788511,44.3458913054644,6.0360897078182,0.645116528477774,187.699652954612,2.31287663563418,45.20775677459,0.864005101168257,57.1058225534732,44.736757565944,81.625125694019,4.54668727861092,4.40478660070212,644,1
"3","AFG",1988,0.366160500595089,19.8598273853005,103.9133956705,15.7121779904897,114.208458682278,0.33645406483131,4.46096216606309,2.06108189412054,50.8361274000803,1.7796977764034,60.5846241144679,50.7923731759545,36.8241192914841,0.450337606702044,1.14753561406373,463.333333333333,3
"4","AFG",1989,0.067092896354407,1.29637689381251,46.1323239448356,1.45214527686043,2.97324652533976,0.210769646261791,1.45695966103881,2.40440790949545,7.04750155455027,0.826837393064539,6.30258741797592,32.2817804853772,22.2224517319885,0.112842055842191,0.212676607202649,125,1
"5","AFG",1991,46.4646900750711,31.8852700579546,19.2868820273236,8.27729813295035,5.75838955343005,52.0313158933774,78.926609847378,30.1428611837531,66.6701510609484,15.5786604719351,29.9391050068192,16.9457895350774,83.1523784796406,71.8447483416634,2.09585033267761,559,1
"6","AFG",1995,0.285090816488585,6.79486636892483,24.3859430623733,14.5933087841274,3.39985302668892,0.124282141178595,11.3330840904478,9.73135787244249,13.9267661203117,0.324987236570421,6.13379552209592,36.5697581641559,11.9188679239579,0.257555678300517,0.220483191935697,140,2
"7","AFG",1996,0.251773835582613,5.18529787050727,16.9899813640456,2.35264019393912,6.11792139599045,0.250927857259144,5.05868773630731,3.6772856104757,15.1342374715631,3.09444022404948,7.52069704951794,33.1270809673315,35.5175463852966,0.212927901206514,0.175220803594362,134.666666666667,3
"8","AFG",1997,4.58602328670108,46.2153495692311,22.3242388991868,4.17665918994902,13.2485324588631,0.312535688341355,9.11570075811272,5.78936820105792,33.0002388337447,0.867413096939491,25.7247089493274,33.1050928509641,32.3818142879139,0.660938795191746,3.15805180114214,234.666666666667,3
"9","AFG",1998,1.12675205498715,28.6537586473483,67.0862842639336,10.8931350363304,34.2771378227852,0.328970959068681,12.4572532097935,13.1923771993993,29.5754290776143,0.86224597926951,45.3739599181689,38.7753941940446,19.3310578461477,0.703567261600517,5.52934319617483,308.166666666667,6
"10","AFG",2000,0.425268416703494,10.9008500619799,26.4172147652522,5.72005675334683,7.22163941087832,0.35069655921819,17.841133917799,2.42300153717242,13.8952068929889,0.400692182575816,10.5625940538745,19.8894527562733,11.0151997240772,1.02263351050666,0.664359457353275,128.75,8
"11","AFG",2001,1.04715228684488,13.839389975249,42.2788321866101,10.3364647009343,19.4509085790159,5.92866924429788,14.8243245497094,6.66237790745153,28.3806491440643,2.82121100398413,22.348639635289,30.7662214421099,27.1814356234168,1.32245776099723,3.60073964423605,230.789473684211,19
"12","AFG",2002,4.55374051868008,45.2500225088662,45.7576645010452,8.00784513520979,45.0188507595058,4.07111524761785,5.11778812922988,6.14980927095428,23.6387822259591,11.0016726794076,36.7527230685592,30.3089621080936,28.7010146663874,0.608687748616483,10.0997829703291,305.038461538462,26
"13","AFG",2003,3.95472319266423,55.3194697588767,31.1578948343202,4.85469969372874,44.19259301837,0.146714157117803,13.0727469843497,6.18548557725554,5.75602543628758,0.582811091852558,24.689169860172,60.0002207317148,32.0352377398587,0.20851435649522,0.480057203299847,282.636363636364,11
"14","AFG",2004,1.63145417103033,11.162211234725,34.7398227365347,17.1851468404265,65.7128596289271,3.51103948100412,12.5002672988865,9.89890711122286,33.7056346717737,17.4305618585618,38.2554406177542,40.4998670919679,70.5220290393792,1.60931120293458,2.09698547640988,360.461538461538,13
"15","AFG",2005,3.17605200318865,5.80888259533489,50.8568217837558,15.6962545934237,104.354957963815,39.7114005406994,29.0315537196054,24.2534929023619,59.0122598332403,24.1941123157349,61.3890738858704,31.142425568463,65.1680766828843,6.06503405216644,23.8062682261225,543.666666666667,9
"16","AFG",2006,4.73992189161263,16.0975695115765,24.7087084385248,18.0043688107321,76.1232777252025,18.893441406461,21.6861234480702,14.6721241257636,78.9660702739786,59.2241941007029,80.8155654306912,14.1807231357683,7.67002035263475,1.15566186384872,5.81222948443214,442.75,4
"17","AFG",2007,0.698963605772409,1.44191736461931,22.0400060098311,3.64991465216975,49.6651922091645,2.8384340490856,4.68170598372812,19.4898867000717,33.1079241393596,37.0200152375556,25.1449228906688,9.15817473619843,10.0397928257579,2.56282102116647,10.1269952415174,231.666666666667,3
"18","AFG",2008,9.57303561079341,19.3562186769918,31.2923264488254,32.6766014854426,32.8086319509311,0.623552390713258,22.5507509906642,29.7474618912718,113.172025048437,3.30321343736703,40.4628470372745,22.418740979409,23.1500959452664,3.00024503687376,2.19758640307204,386.333333333333,6
"19","AFG",2009,3.04842858967039,29.6513849964195,42.5417826482547,5.74696790844392,25.3631373322143,0.201487365136942,8.56422923233272,33.818797482309,34.9463904342671,0.940972844994313,23.2336519583144,87.9000795335595,47.8203308145319,1.34145337005598,0.595191203781236,345.714285714286,14
"20","AFG",2010,4.23418926987349,13.0167085610747,28.8399718349247,12.803705263092,90.2296486595352,6.47292899638287,20.7306804195199,13.7086628678817,82.8290960140154,4.97932402010723,67.3171467103956,31.1344971171422,20.193838718337,20.1007256611805,13.0755425532041,429.666666666667,15
