"","year","region","cancer","reproductive","religion","business","marriage","arts","migration","rape","war","literature","personal","rights","politics","sports","fashion","number.of.non.stop.words","n"
"1",1980,"Africa",2.25694073808937,52.0191364241925,2.65607866556219,59.1299392000102,12.3242430554753,4.47189871849267,91.8585956046716,9.79388528286817,6.62013005616588,1.00614418306491,29.6466776917954,38.2093215555048,25.7590551949463,2.99372425518633,26.6542293739742,365.4,5
"2",1980,"Asia",0.710232853303078,6.26556247116433,4.00860283573544,31.77412986285,39.6309912703934,13.2526184890408,21.4239779483549,17.9334717877191,5.53597284196586,7.38214618059998,27.9601412674955,24.2176942944611,26.8028660616299,4.12814672158494,51.0322686431134,282.058823529412,17
"3",1980,"EECA",7.05647406914879,3.06312422358714,1.88894237306642,11.7418878786556,32.8562738122197,5.89342829268705,15.0928543785169,6.47521138736852,4.68189811941635,43.5778723972651,29.7910568190651,31.2948356058071,35.1721670503327,2.33686363837505,7.36282424020289,238.285714285714,7
"4",1980,"LA",1.66360163348695,8.12882413212649,5.2253902114346,13.0900161366376,19.3473075344101,5.11675143914493,8.53674197605278,6.62988694466399,15.2804328569045,4.71735525541975,24.7345977746007,24.8742524257906,60.8799107613147,2.10698848093084,14.1679424370812,214.5,10
"5",1980,"MENA",0.309140341319398,3.51861601311992,36.5618265471423,14.9818286246589,11.7987803900397,2.16116124182951,3.04383433438435,6.03794215331982,60.2245808208604,3.45843503254911,19.0894711901239,29.3535126558588,81.4065728169498,0.883179044758228,3.48361879308583,276.3125,16
"6",1980,"West",19.5293323171782,6.62370160436609,3.21983169981847,22.0129144345009,22.1941985072463,15.9286990753387,9.90940379121989,7.13235103735342,2.68064043751651,72.3746750940735,33.4451648703369,29.249912811519,28.9869348287717,6.67246256693005,4.66477692383039,284.625,24
"7",1981,"Africa",0.448204883486055,24.6629012278759,2.20362625323332,29.095361226193,37.9930555951698,1.83019468774945,19.9909197561762,4.75531786039761,2.00483935302377,66.1680985265729,34.1626444195866,80.539481692951,6.27697454316951,0.273372193016395,1.59500778139833,312,2
"8",1981,"Asia",23.5622989587716,13.5469880025445,5.36849578273183,33.1409550624761,16.1274311413649,105.540817299389,10.8909021432532,7.55310569989272,3.10068533571537,18.8191632577162,21.7878313459669,25.9332025397252,9.35099711177862,5.76776182456568,16.7725223888445,317.263157894737,19
"9",1981,"EECA",1.22248736766545,8.77065859257584,3.21911378945178,41.8138832602371,40.4040418628273,8.06167199926614,25.8141508592788,2.27096445393434,5.29951289555073,95.7060283931642,36.8769352908504,41.9030320506913,66.7919593413706,7.41748163268512,5.42807821045098,391,10
"10",1981,"LA",1.06901267284731,5.79736451685983,10.2838177340046,54.1877987811934,54.5430058562681,9.58628549999364,32.3566586835401,103.330475651956,16.0795915345142,29.9005856191628,24.4426858534624,40.5792912910253,34.0776977017095,3.62923409724164,45.536494506222,465.4,5
"11",1981,"MENA",21.8506953586154,2.94744973773275,33.2850623760935,24.0516543508113,27.5794409242971,10.2702656216906,16.3470828641389,15.1164368473543,30.7218803459054,4.0585655347998,36.5915154360002,33.8292709474485,25.9217274659363,27.4779639518396,10.2843215706697,320.333333333333,9
"12",1981,"West",15.1826831506037,3.44228018315643,11.6805753601781,28.2173040868768,12.4417690367747,15.7726473949131,6.39683853971762,14.9979073565515,5.99927637144947,42.0805058060576,35.6308832589826,26.7787163756971,28.0500487921966,26.6944079419642,20.4546691653932,293.820512820513,39
"13",1982,"Africa",0.223140379980081,6.86273390792514,1.12005054941117,1.81297666512665,7.40813856465265,5.81847798117077,13.7546193920445,5.3931493597255,5.29948923714763,28.6443536106149,3.56246604550086,30.4672241913656,14.1711723636285,0.059283293308907,0.902724458397229,125.5,2
"14",1982,"Asia",7.3026349268084,19.2108140118282,0.565229632875153,38.4033355191432,36.7328397634564,20.069523641369,26.2600657448236,1.69539709489158,1.74424348035686,16.1766980367353,42.796758821985,20.0186334849684,5.14078261298123,3.36349487725182,138.107783644643,377.588235294118,17
"15",1982,"EECA",1.52890813335017,0.810332837513652,0.527753895574625,6.68322321346013,13.8946962268183,12.6941087712273,3.89016591554672,2.78921311734533,44.088862500035,86.5243698079814,21.3933648181908,5.61746095041333,22.0181775910225,0.916347822265255,14.7896810659221,238.166666666667,6
"16",1982,"LA",0.436011335152067,6.50719824658389,6.26815092173378,19.9961670182593,7.34572824190808,9.49590749152539,41.1843286591219,5.03186369712933,3.14608283613318,3.95409494142894,8.43897394535399,13.1810574393768,28.3483800938833,5.87528436125639,9.5685485489314,168.777777777778,9
"17",1982,"MENA",0.935004805646209,14.6553341471746,35.5338135232641,29.9670357342791,20.9160495665476,1.10898142258513,19.2300214443249,8.9238289049481,39.2360398902948,12.0513558105678,28.8152686202963,50.7779398696217,24.897154185488,0.39426192106511,14.2721958681824,301.714285714286,14
"18",1982,"West",29.2093677583363,4.1425211125446,0.983140417842742,27.8734185682105,19.6242989489403,11.0501430958426,4.34236242913311,7.57883782624055,1.63586117477836,20.6492046871298,28.9509106930248,11.6100253848776,10.8463033667816,20.371728403423,61.5985427995606,260.466666666667,30
"19",1983,"Africa",1.53689250267911,10.076944439967,2.50224239465323,4.37134980399389,35.7635225918842,24.3939020153443,11.5854704256276,36.1156762129928,2.39269961501484,24.8224171830581,38.7916294063049,29.427993025689,34.6564264378713,72.1745407745025,24.2216265037509,352.833333333333,6
