"","top.200.smd.africa.uni.","top.200.smd.asia.uni.","top.200.smd.eeca.uni.","top.200.smd.mena.uni.","top.200.smd.la.uni.","top.200.smd.west.uni."
"127","imprison","food","distractionjoani","burst","urb","church"
"128","civil","counter","doorman","lingeri","wellplac","action"
"129","condit","shut","easiest","loya","yorktrain","origin"
"130","campaign","panel","elgibl","outreach","celebr","affect"
"131","socal","safeti","eurovis","freed","half","obscen"
"132","differ","patriarchi","exhibition","conscript","companion","membership"
"133","enforc","analyz","fccstyle","unveil","maid","workingclass"
"134","sponsor","catalyst","fellowtravel","door","still","john"
"135","accomplish","fetus","fidel","deserv","governor","differenti"
"136","deliv","flaw","forcef","chant","malefemal","applic"
"137","march","insignific","freeforal","custodi","bikini","cultur"
"138","subject","lifestyl","freez","driver","elena","ident"
"139","bead","lucki","fur","segreg","hierarch","psychologist"
"140","senga","mentor","genius","dare","salon","plant"
"141","zulu","occurr","glamor","wore","threeday","roman"
"142","abound","worsen","hardcurr","took","unbalanc","stronger"
"143","accent","surviv","harvardeduc","minimum","unnot","teenag"
"144","allevi","gang","hedonist","futur","unsanitari","fulli"
"145","allout","diminish","highris","wheel","abrupt","specif"
"146","amen","parallel","hippi","crowd","backbon","acquit"
"147","amongst","achiev","hooray","licens","beckon","catharin"
"148","appl","entrench","immut","twitter","candidaci","churchgoer"
"149","apprais","settlement","innumer","minut","congression","extract"
"150","badg","defin","irina","lawmak","demur","invent"
"151","blackgovern","arrang","irreconcil","travel","disagr","alonso"
"152","bottl","expert","komsomolet","forbidden","doubli","antiporn"
"153","boygetsgirl","legaci","laundri","ruler","earthquak","classifi"
"154","brain","blind","leagal","beg","emin","cristina"
"155","cairobas","bureau","loneli","cellphon","equalpay","dimens"
"156","caption","unabl","lonelyheart","facto","forth","grasp"
"157","catchment","stall","lthat","hosni","grandfath","immin"
"158","cattl","echo","moskovskii","invas","happili","maternityleav"
"159","caxton","illiteraci","mythic","ultraconserv","hop","statesanct"
"160","chast","empow","neofascist","contradict","interdisciplinari","childrear"
"161","childcar","bright","newfangl","vision","latin","conscienc"
"162","childcustodi","satisfi","nondrink","schedul","margaret","erstwhil"
"163","classif","tone","nowaday","oppos","mixtur","facial"
"164","comic","unmarri","nurnberg","vote","monopoli","incomprehens"
"165","customarili","babi","oldstyl","dishonor","oneparti","pair"
"166","dam","glorifi","omin","modesti","overshadow","akin"
"167","deceas","politburo","openminded","bolster","robberi","embryolog"
"168","desol","bald","ora","sharpli","seamless","expartn"
"169","discredit","satisfactori","outset","oust","semioffici","fascist"
"170","disinherit","infecti","overemancip","pervas","sixyear","invitro"
"171","dispossess","aftermath","pageandahalf","nurs","strident","lorrain"
"172","disproport","conceal","phycist","grown","troublemak","mantra"
"173","drought","fallout","physiotherapi","signatur","undisguis","natalli"
"174","eileen","generos","polem","analyst","unregul","precancer"
"175","ekbal","happier","pontiff","seiz","came","retrospect"
"176","eltalawi","herald","prefect","optimist","plot","summar"
"177","epitom","luckier","primit","kingdom","legal","thorni"
"178","etiquett","muchlov","promoscow","keep","struggl","holder"
"179","evelov","sadden","quickest","readi","lack","prototyp"
"180","fetcher","simplest","quixot","grant","effort","unconvinc"
"181","firstborn","southwest","ramzan","backward","format","afghanstyl"
"182","foodscarc","outdo","raze","smile","journal","billionair"
"183","fork","pig","repaid","oldest","medic","calibr"
"184","forti","newer","romanbyzantin","copi","armi","centrist"
"185","fulbright","girlfriend","roza","recep","luxuri","champ"
"186","grain","dormitori","scan","grate","welleduc","clearcut"
"187","guis","knock","secreci","successor","annul","cradl"
"188","handshak","misguid","selfdescrib","clarifi","buri","elyse"
"189","haul","atrisk","selfreal","admonish","burial","embryo"
"190","headbal","baffl","separatist","awkward","coast","governmentencourag"
"191","heretofor","cpr","siberian","captur","conting","gurus"
"192","hivinfect","eyecatch","smokefil","guardianship","eleg","insidi"
"193","hoe","golden","solitud","halfbroth","extraordinarili","certain"
"194","iciz","istan","spurious","smash","humbl","deem"
"195","imperialist","outfitt","stateapprov","caprici","ladder","nativ"
"196","impregn","paternalist","statesponsor","shook","myth","scope"
"197","inaud","selfdefens","stayathom","supervis","seldom","cold"
"198","incometax","twist","sundrench","winc","unavail","seller"
"199","intepret","exhort","temperatur","burka","unwritten","withdrawn"
"200","irrespons","laborsav","thereaft","counterbal","wednesday","delight"
