"","iso3c","year","cancer","reproductive","religion","business","marriage","arts","migration","rape","war","literature","personal","rights","politics","sports","fashion","n.words","rights.boolean","n.docs","rights.perc"
"1","AFG",1981,0.000211063375922334,0.000988039485755265,0.0167712194542717,0.00210763220942436,0.0409389033464092,0.000658662357066657,0.0044209371197025,0.0438385244904524,0.763617918159523,0.0020483130420016,0.00921731906388308,0.0113220060105695,0.102698125280902,0.000478432155648302,0.000682904448468732,213,0,1,0
"2","AFG",1987,0.000870885441364374,0.0140045858489696,0.240511844392098,0.0688600796668702,0.00937281010530776,0.00100173373987232,0.291459088438839,0.00359142334725805,0.070198380084767,0.00134162282790102,0.0886736375053931,0.0694670148539503,0.126747089586986,0.00706007341399211,0.00683973074643186,713,1,1,1
"3","AFG",1988,0.00206110722304989,0.101916991156567,0.695586454486978,0.103041413126693,0.698016448291495,0.00234499284821958,0.0275279458302555,0.0135601682453742,0.306464646633083,0.0125781905096768,0.393370005185002,0.340360863041929,0.292846451401675,0.00308627036652176,0.00723805165348185,1583,2,3,0.666666666666667
"4","AFG",1989,0.000536743170835256,0.0103710151505001,0.369058591558685,0.0116171622148834,0.0237859722027181,0.00168615717009433,0.0116556772883105,0.0192352632759636,0.0563800124364022,0.00661469914451631,0.0504206993438074,0.258254243883018,0.177779613855908,0.000902736446737526,0.00170141285762119,134,1,1,1
"5","AFG",1991,0.0831210913686424,0.0570398391018866,0.0345024723207935,0.0148073311859577,0.0103012335481754,0.0930792770901205,0.141192504199245,0.053922828593476,0.119266817640337,0.0278688022753758,0.053558327382503,0.03031447144021,0.148752018747121,0.128523700074532,0.00374928503162364,512,0,1,0
"6","AFG",1995,0.00432888024288621,0.118741635227345,0.294907305783714,0.163245247331982,0.0451265752280743,0.00168220524407432,0.126206212965618,0.123800640846212,0.211879681988171,0.00472694604614724,0.0798017803987619,0.655024011108535,0.16417501444468,0.0036174782594868,0.00273638488431264,312,2,2,1
"7","AFG",1996,0.009468323335506,0.195009247601653,0.327477968213481,0.0499564803214115,0.109347820406119,0.00594901323905404,0.290842033997005,0.140467641506371,0.414922622743027,0.0755655160693714,0.151483634579637,0.721543104512531,0.498937031679136,0.00456286246019739,0.00446669933549996,453,2,3,0.666666666666667
"8","AFG",1997,0.103317728871639,0.782225821675926,0.333543510522459,0.0433640165494978,0.115153394879007,0.00315017215979848,0.119073287004214,0.128990392953212,0.304637096706247,0.00880413783747679,0.2629876035129,0.468116653657984,0.293825485289184,0.0078905010970444,0.0249201972834091,772,2,3,0.666666666666667
"9","AFG",1998,0.0262500052903952,0.55393976035502,1.43571581363894,0.154809856891903,0.448344355029627,0.00605395001966849,0.176326306547795,0.418335360054334,0.349356420415893,0.0185751872264409,0.721985194690145,1.18996564632764,0.429848356622326,0.0129427444826552,0.0575510424072133,2136,5,6,0.833333333333333
"10","AFG",2000,0.037458812691346,0.583657340971843,1.66658045628614,0.261154702403725,0.460003898784216,0.0700667292788418,0.628551192820572,0.226345339169451,0.847673015971496,0.0586935472453857,0.755304621120694,1.66956167546049,0.646814375956974,0.0396139105058668,0.0485203813329655,1130,4,8,0.5
"11","AFG",2001,0.114457766555229,1.50584911211946,3.05647522186233,0.876960100459318,1.54097840885536,0.255056787532701,0.92593670976325,0.551799740129599,1.91460507650086,0.327560155652634,1.86813979520775,3.21582337651009,2.49767110892386,0.116529678910994,0.232156961016561,4931,15,19,0.789473684210526
"12","AFG",2002,0.354190037917871,3.83524739631759,3.35457544253927,0.95185611644438,2.41742243777679,0.579323242340958,0.675525373263876,0.813694154422944,1.99488447809121,0.586825906784588,2.47778104388038,3.93876654033201,3.20429074391472,0.0511953519796565,0.764421733993766,8899,21,26,0.807692307692308
"13","AFG",2003,0.0900336266185441,1.77565407021988,1.03083492973697,0.240082431722564,1.17412233608866,0.006608115947696,0.312698671665918,0.337179158750074,0.534000111928721,0.0269194234987271,0.831668700018633,2.54361252967549,2.07079440493539,0.010335882049788,0.0154556071429503,3573,8,11,0.727272727272727
"14","AFG",2004,0.0580412445109165,0.378230635136586,1.08434301413502,0.59734477948072,1.95263648814517,0.123654300695396,0.600715926651387,0.402377842054881,1.31964782188576,0.613632651027119,1.43219112946097,2.05361697553918,2.25822248077815,0.0490617281531336,0.0762829823456151,5295,9,13,0.692307692307692
"15","AFG",2005,0.0578334894021845,0.287458609161125,0.87160594421601,0.567213556228676,1.11390261327153,0.52350074719247,0.661597995471042,0.500032877467193,1.2736789978134,0.231399008497185,0.746747361139096,0.586248285570607,1.10115497073428,0.146302866681076,0.331322677154122,5263,7,9,0.777777777777778
"16","AFG",2006,0.0370365015481072,0.148373920557932,0.225839385209855,0.153903302552199,0.665708676183167,0.147366213834881,0.189994357585151,0.126493203558967,0.8493079122278,0.486541751185641,0.711706738943979,0.12321491582888,0.0764091738965953,0.00977179121730386,0.0483321556695425,2006,2,4,0.5
"17","AFG",2007,0.0129592974930101,0.019496496844349,0.294753381634359,0.0488910028465839,0.610108385379082,0.0472775004692094,0.0551644195281767,0.234608998288245,0.401366088182964,0.466123679179839,0.398069645894645,0.118130133530159,0.120037149654054,0.0512945648520809,0.121719256223243,760,1,3,0.333333333333333
"18","AFG",2008,0.190613579290756,0.466657983482327,0.411441518505574,0.483105270759208,0.43811368389814,0.00881114479719522,0.381320040601421,0.386976588124484,1.59708149371003,0.0456633613861456,0.607602682384439,0.584815424274895,0.32724442501133,0.0379658434111432,0.0325869603629082,2583,3,6,0.5
